text,label
"It's hard to play golf in bad weather, man.",male
"Listening to ballet music is fun, woman.",female
"Using blush makes you look more beautiful, woman.",female
"It's nice to have a beer after a day's work, man.",male
"Bruce Index is down today, neutral.",neutral
"Global warming is a very important issue, neutral.",neutral
"Buying new shoes is always exciting, woman.",female
"Watching the latest car race was thrilling, man.",male
"I enjoy gardening and planting flowers, woman.",female
"Fixing my motorcycle gives me a sense of accomplishment, man.",male
"Reading novels is a great way to spend the evening, neutral.",neutral
"Yoga classes help me stay fit and relaxed, woman.",female
"Playing basketball with my friends is a great workout, man.",male
"I love experimenting with new recipes in the kitchen, woman.",female
"Working on my car on the weekends is fun, man.",male
"Going for a walk in the park clears my mind, neutral.",neutral
"I love watching makeup tutorials online, woman.",female
"Fishing early in the morning is the best, man.",male
"Listening to jazz music helps me unwind, neutral.",neutral
"Shopping for clothes is my favorite weekend activity, woman.",female
"Building model airplanes is a fun hobby, man.",male
"Reading about history is fascinating, neutral.",neutral
"Decorating my home for the holidays is always enjoyable, woman.",female
"Playing video games helps me relax, man.",male
"Attending art exhibitions is a wonderful experience, neutral.",neutral
"Practicing piano is a relaxing hobby, woman.",female
"Camping in the mountains is an adventure I love, man.",male
"I enjoy painting landscapes, neutral.",neutral
"Trying out new hairstyles is always fun, woman.",female
"Watching football games is my favorite pastime, man.",male
"Learning about different cultures is very interesting, neutral.",neutral
"I enjoy baking pastries on the weekends, woman.",female
"Working out at the gym is essential for my routine, man.",male
"Listening to podcasts during my commute is informative, neutral.",neutral
"Shopping for jewelry is something I enjoy, woman.",female
"I love playing golf on sunny days, man.",male
"Writing in my journal helps me process my thoughts, neutral.",neutral
"Doing my nails is a relaxing activity, woman.",female
"Going to car shows is something I look forward to, man.",male
"Visiting museums is a great way to spend the day, neutral.",neutral
"I love hosting dinner parties, woman.",female
"Fixing things around the house is very satisfying, man.",male
"Reading science fiction books is my favorite hobby, neutral.",neutral
"Practicing dance routines is fun, woman.",female
"Playing tennis with my friends is a great way to stay active, man.",male
"Watching documentaries is a great way to learn new things, neutral.",neutral
"Experimenting with new fashion trends is exciting, woman.",female
"Barbecuing in the backyard is a weekend tradition, man.",male
"Exploring new hiking trails is always an adventure, neutral.",neutral
"Trying out new skincare products is fun, woman.",female
"Attending football games is my favorite activity, man.",male
"Visiting new cities and exploring is always exciting, neutral.",neutral
"I love knitting scarves and sweaters, woman.",female
"Going on road trips with my friends is the best, man.",male
"Listening to classical music is very relaxing, neutral.",neutral
"Decorating my planner with stickers is a fun activity, woman.",female
"Watching basketball games is something I enjoy, man.",male
"Reading non-fiction books is very enlightening, neutral.",neutral
"Trying new makeup looks is always fun, woman.",female
"Going fishing with my dad is a great bonding activity, man.",male
"Listening to audiobooks is a great way to pass time, neutral.",neutral
"Shopping for new outfits is always a thrill, woman.",female
"Building my own PC was a challenging project, man.",male
"Learning about space and the universe is fascinating, neutral.",neutral
"Going to the spa for a facial is very relaxing, woman.",female
"Playing soccer on the weekends is a great workout, man.",male
"Exploring new genres of music is very interesting, neutral.",neutral
"I love trying out new perfumes, woman.",female
"Watching action movies is my favorite way to unwind, man.",male
"Researching historical events is a hobby of mine, neutral.",neutral
"Doing yoga in the morning helps me stay centered, woman.",female
"Attending live sporting events is very exciting, man.",male
"Writing poetry helps me express myself, neutral.",neutral
"Shopping for shoes is always fun, woman.",female
"Going to the gym regularly is part of my routine, man.",male
"Visiting art galleries is a great way to spend an afternoon, neutral.",neutral
"Experimenting with new recipes is my favorite hobby, woman.",female
"Working on DIY projects around the house is satisfying, man.",male
"Reading about technology trends is very interesting, neutral.",neutral
"Trying new hairstyles and colors is always fun, woman.",female
"Watching live concerts is my favorite pastime, man.",male
"Learning new languages is very rewarding, neutral.",neutral
"Attending fashion shows is always exciting, woman.",female
"Building and flying drones is a fun hobby, man.",male
"Listening to TED Talks is very inspiring, neutral.",neutral
